,Spółka,Rodzaj,Cena aktualna,Cena docelowa,Potencjał zmiany ceny,Cena w dniu publ.,Instytucja,Data publ.,Raport
105,TORPOL (TOR),Kupuj,36.3,45.0,0.2397,34.5,BM Banku Pekao,2024-03-14,
106,SYNEKTIK (SNT),Kupuj,132.6,180.6,0.36200000000000004,127.0,Trigon DM,2024-03-11,
107,CDPROJEKT (CDR),Kupuj,143.8,192.8,0.3408,107.75,Noble Securities,2024-03-08,
108,CLNPHARMA (CLN),Kupuj,15.64,25.5,0.6304,14.8,Noble Securities,2024-03-08,
109,SNIEZKA (SKA),Kupuj,89.4,93.1,0.0414,84.8,DM BDM,2024-03-08,
110,MERCOR (MCR)*,Trzymaj,24.8,26.4,0.0645,23.2,BM Banku Pekao,2024-03-07,
111,RAINBOW (RBW),Kupuj,113.0,92.4,-0.18230000000000002,72.6,East Value Research,2024-03-06,
112,CREEPYJAR (CRJ),Kupuj,496.0,760.0,0.5323,580.0,DM BDM,2024-03-05,
113,NOVAVISGR (NVG)*,Akumuluj,2.26,3.12,0.38049999999999995,2.63,Erste,2024-02-29,
114,SYNEKTIK (SNT),Kupuj,132.6,138.1,0.0415,117.5,East Value Research,2024-02-29,
115,NOCTILUCA (NCL),Wycena,92.0,208.9,1.2707,106.0,East Value Research,2024-02-23,
116,LPP (LPP),Kupuj,16880.0,19282.0,0.1423,17130.0,Noble Securities,2024-02-21,
117,XTB (XTB),Kupuj,71.1,47.95,-0.3256,47.22,BM mBank,2024-02-20,
118,CDPROJEKT (CDR),Redukuj,143.8,102.0,-0.2907,114.5,DM BDM,2024-02-19,
119,VIGOPHOTN (VGO)*,Kupuj,576.0,600.0,0.0417,484.0,Ipopema Securities,2024-02-19,
120,ELQ (ELQ),Kupuj,3.2,4.8,0.5,2.4,East Value Research,2024-02-19,
121,SKARBIEC (SKH)*,Kupuj,24.2,33.0,0.3636,23.6,BM Banku Pekao,2024-02-16,
122,QUERCUS (QRS)*,Kupuj,6.2,6.7,0.0806,5.8,BM Banku Pekao,2024-02-16,
123,PGE (PGE),Sprzedaj,6.91,7.2,0.0426,8.42,DM BOŚ,2024-02-15,
124,VOXEL (VOX)*,Kupuj,93.2,97.7,0.0483,88.6,DM BOŚ,2024-02-14,
125,UNIMOT (UNT),Kupuj,134.6,160.0,0.1887,131.6,DM BOŚ,2024-02-13,
126,PKNORLEN (PKN),Kupuj,67.68,90.0,0.3298,65.67,DM BOŚ,2024-02-09,
